split,mse,r2,rank_ic
0,0.0823971349610759,-0.0044603119064490215,0.004599890113999244
1,0.08323114205434716,-0.014627255519660487,-0.07737789475646088
2,0.08116318169090458,0.010582166053734632,0.09644676875258328
3,0.08340112213249554,-0.0166993936151838,-0.09871062337359575
4,0.08277061677379777,-0.009013233052010738,-0.057665954810021895
5,0.08408044460597068,-0.024980658053737947,-0.008195809917810349
6,0.08225062618176561,-0.002674300120571127,0.06288266328452888
7,0.08194461445752006,0.0010561285178506408,0.05746253598900338
8,0.08513714339636606,-0.03786231949855767,-0.24370230947762897
9,0.08709048852715341,-0.06167452680720342,-0.11105355248120284
10,0.08218620868991441,-0.00188902021990911,0.04168773451389043
11,0.08300272549953448,-0.011842748946706116,-0.0694248750443823
12,0.08267610691301727,-0.007861112844401053,-0.046254815140628625
13,0.07893345547505089,0.03776359039937971,0.26967429959347633
14,0.08145261974929706,0.0070537782942834415,0.09958991763219188
